&	ഒപ്പം
#	ഹാഷ്
@	ആറ്റ്
§	വിഭാഗം
™	ട്രേഡ്മാർക്ക്
®	രജിസ്റ്റേർഡ് ട്രേഡ്മാർക്ക്
©	പകർപ്പവകാശം
_	അണ്ടർസ്കോർ
%	ശതമാനം
*	നക്ഷത്രം
+	പ്ലസ്
-	മൈനസ്
/	സ്ലാഷ്
=	തുല്യം
^	സർകംഫ്ലെക്സ്
|	ലംബരേഖ
~	ടിൽഡ്
$	ഡോളർ
£	പൗണ്ട്
€	യൂറോ
₹	രൂപ
₩	വോൺ
¥	യെൻ
°	ഡിഗ്രി
º	ഡിഗ്രി
κ	കപ്പാ
ω	ഓമേഗ
α	ആൽഫ
ν	ന്യൂ
δ	ഡെൽറ്റ
Δ	ഡെൽറ്റ
Α	ആൽഫ
β	ബീറ്റ
Β	ബീറ്റ
χ	കൈ
Χ	കൈ
ε	എപ്സിലോൺ
Ε	എപ്സിലോൺ
φ	ഫൈ
Φ	ഫൈ
γ	ഗാമ
Γ	ഗാമ
η	ഈറ്റ
Η	ഈറ്റ
ι	ഐഓട്ട
Ι	ഐഓട്ട
κ	കപ്പാ
Κ	കപ്പാ
λ	ലാംഡ
Λ	ലാംഡ
μ	മ്യൂ
Μ	മ്യൂ
ν	ന്യൂ
Ν	ന്യൂ
ο	ഒമിക്രോൺ
Ο	ഒമിക്രോൺ
π	പൈ
Π	പൈ
θ	തീറ്റ
Θ	തീറ്റ
ρ	റോ
Ρ	റോ
σ	സിഗ്മ
Σ	സിഗ്മ
τ	ടൗ
Τ	ടൗ
υ	ഉപ്സിലോൺ
Υ	ഉപ്സിലോൺ
ω	ഓമേഗ
Ω	ഓമേഗ
ξ	ക്സൈ
Ξ	ക്സൈ
ψ	സൈ
Ψ	സൈ
ζ	സീറ്റ
Ζ	സീറ്റ
±	പ്ലസ് മൈനസ്
∓	മൈനസ് പ്ലസ്
√	വർഗമൂലം
∛	ഘനമൂലം
∞	അനന്തം
≠	സമമല്ല
≈	ഏകദേശം തുല്യം
≤	കുറവ് അല്ലെങ്കിൽ തുല്യം
≥	കൂടുതൽ അല്ലെങ്കിൽ തുല്യം
<	കുറവ്
>	കൂടുതൽ
∑	സമ്മേഷൻ
∏	ഗുണനഫലം
∫	സമാകലനം
∂	ഭാഗിക വ്യുത്പന്നം
∇	നാബ്ലാ
→	അമ്പ്
←	ഇടത്തെ അമ്പ്
↔	ഇരുവശ അമ്പ്
↑	മുകളിലെ അമ്പ്
↓	താഴെയുള്ള അമ്പ്
×	ഗുണിച്ചാൽ
÷	ഹരിച്ചാൽ
